Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Level of requirement,Observation Status,Reporting Type,Units,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",32,Argentina,TOTAL,TOTAL,A,G,NUMBER,,14,25,26,26,31,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",36,Australia,TOTAL,TOTAL,A,G,NUMBER,,114,113,157,191,228,26,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",40,Austria,TOTAL,TOTAL,A,G,NUMBER,,16,28,32,34,34,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",31,Azerbaijan,TOTAL,TOTAL,A,G,NUMBER,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",48,Bahrain,TOTAL,TOTAL,A,G,NUMBER,,,,1,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",56,Belgium,TOTAL,TOTAL,A,G,NUMBER,,19,32,36,39,43,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",60,Bermuda,TOTAL,TOTAL,A,G,NUMBER,,8,1,15,23,28,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",76,Brazil,TOTAL,TOTAL,A,G,NUMBER,,49,51,62,72,86,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",100,Bulgaria,TOTAL,TOTAL,A,G,NUMBER,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",116,Cambodia,TOTAL,TOTAL,A,G,NUMBER,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",124,Canada,TOTAL,TOTAL,A,G,NUMBER,,97,113,154,19,231,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",136,Cayman Islands,TOTAL,TOTAL,A,G,NUMBER,,1,2,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",152,Chile,TOTAL,TOTAL,A,G,NUMBER,,21,24,25,27,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",156,China,TOTAL,TOTAL,A,G,NUMBER,,122,148,651,210,1047,186,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",170,Colombia,TOTAL,TOTAL,A,G,NUMBER,,9,11,13,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",196,Cyprus,TOTAL,TOTAL,A,G,NUMBER,,1,2,5,6,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",203,Czechia,TOTAL,TOTAL,A,G,NUMBER,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",208,Denmark,TOTAL,TOTAL,A,G,NUMBER,,28,36,44,55,6,63,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",818,Egypt,TOTAL,TOTAL,A,G,NUMBER,,1,,,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
