country,2019,2020,2021
Afghanistan,40.1,,44.7
Albania,28.6,,22.3
UAE,25.3,,23.4
Argentina,15.3,,18.7
Armenia,38.9,,30.5
Australia,27.3,,27.7
Austria,26.2,,25.7
Azerbaijan,37.2,,
Belgium,35,,39.5
Benin,25.9,,21.4
Burkina Faso,21.4,,28.8
Bangladesh,25.7,,17.9
Bulgaria,38.6,,32.4
Bahrain,26.8,,
Bosnia and Herzegovina,36.6,,24
Belarus,29.8,,
Bolivia,19.5,,15.8
Brazil,8.3,,12.5
Botswana,10.4,,
Canada,29.3,,23.8
Switzerland,35.1,,37
Chile,8.1,,6.9
China,35.7,,40.8
Cote d'Ivoire,15.6,,25
Cameroon,29.7,,28.3
"Congo, Rep.",20.9,,16.9
Colombia,14,,13
Costa Rica,11.1,,11.8
Cyprus,12.6,,13.3
Czech Republic,,,39.2
Germany,35.8,,32
Denmark,48,,49.4
Dominican Republic,16.8,,13
Algeria,47.4,,40.7
Ecuador,15.6,,18.1
Egypt,39.2,,36.5
Spain,11,,14.7
Estonia,43.5,,49.9
Ethiopia,32.8,,
Finland,55.1,,54
France,35,,33.4
Gabon,20.9,,36
UK,20.2,,21.8
Georgia,34.5,,24.4
Ghana,28.3,,27.8
Guinea,24.1,,24.8
Gambia,12.1,,
Greece,16.3,,13.2
Guatemala,13.9,,
"Hong Kong, China",55.4,,58.5
Honduras,14.9,,13
Croatia,41.4,,21.9
Hungary,28.1,,27.5
Indonesia,22.2,,24.8
India,26.5,,23.8
Ireland,22.4,,26.7
Iran,27.6,,26.9
Iraq,34.4,,24.9
Iceland,,,44.2
Israel,42.5,,40.3
Italy,23.3,,26.2
Jamaica,12.2,,8.3
Jordan,39.8,,32.2
Japan,34.3,,35
Kazakhstan,25.6,,27.5
Kenya,15.8,,18.9
Kyrgyz Republic,25.8,,31.8
Cambodia,23.4,,33.3
South Korea,39.6,,29.6
Kuwait,24.9,,
Lao,11.9,,15.2
Lebanon,51.5,,45
Liberia,10.4,,
Libya,26.7,,
Sri Lanka,36.4,,34.3
Lesotho,4,,
Lithuania,37.2,,49.9
Luxembourg,37.5,,
Latvia,41,,38.4
Morocco,10.8,,13.7
Moldova,31.8,,30.7
Madagascar,35,,
Mexico,17.2,,17.9
North Macedonia,31.1,,19.7
Mali,20,,23.2
Malta,23.3,,21.5
Myanmar,37.1,,39.6
Montenegro,42.9,,
Mongolia,39.7,,41.8
Mozambique,15.1,,12.2
Mauritania,30,,
Mauritius,30.7,,37.3
Malawi,8.7,,
Malaysia,30.8,,28.1
Namibia,12.8,,15.5
Niger,18.2,,
Nigeria,23.3,,22.8
Nicaragua,21.8,,11.5
Netherlands,44.8,,39.7
Norway,42.9,,39.4
Nepal,13.2,,17.9
New Zealand,35.6,,34.7
Pakistan,41.9,,35.3
Panama,18.5,,15.8
Peru,18.1,,20.8
Philippines,18.2,,17.8
Poland,34.1,,15.8
Portugal,10.3,,15.1
Paraguay,16.2,,20.4
Palestine,44.8,,
Romania,11.9,,9.2
Russia,22.7,,30.6
Rwanda,16.2,,
Saudi Arabia,28.6,,21.4
Senegal,32.3,,27.1
Singapore,19.9,,27.3
Sierra Leone,18.2,,9.9
El Salvador,19,,13.1
Serbia,35.6,,22.1
Slovak Republic,48.1,,26.7
Slovenia,36.2,,31.6
Sweden,44,,39.4
Eswatini,14,,
Chad,23.3,,
Togo,27.3,,27.9
Thailand,34.2,,37.2
Tajikistan,23.7,,28.7
Turkmenistan,33.2,,
Tunisia,26.6,,29.6
Turkey,25,,18.7
Taiwan,33.5,,35.3
Tanzania,18.9,,19.2
Uganda,16.2,,18.6
Ukraine,25.6,,25
Uruguay,15.6,,23.1
USA,25.3,,22.2
Uzbekistan,32.3,,36
Venezuela,21.7,,17.7
Vietnam,20.7,,25.4
Yemen,31.6,,
South Africa,11.6,,17.3
Zambia,9.8,,15.2
Zimbabwe,15.5,,24.8
