country,removal_cm,lat,lon
Afghanistan,3.4M,33.5549,67.4044
Argentina,15.2M,-38.2516,-63.3514
Australia,31.3M,-26.5112,133.163
Belgium,3.68M,50.2958,4.2831
Brazil,229M,-14.1434,-53.1121
Canada,150M,62.2335,-96.495
Switzerland,4.86M,46.4855,8.1328
Chile,55.1M,-36.4259,-73.366
China,74.5M,34.405,104.957
Germany,56.1M,51.956,10.279
Denmark,2.23M,56.919,11.371
Egypt,17.8M,26.4146,30.4753
Spain,15.4M,39.5344,-2.2912
Finland,50.8M,64.578,26.48
France,55.2M,46.1355,2.1234
UK,10M,54.3759,-3.2556
Greece,1.74M,38.1631,23.4837
India,435M,21.732,82.4741
Ireland,2.63M,53.2511,-8.1425
Iraq,177k,33.1325,43.419
Israel,27k,31.256,35.424
Italy,7.74M,41.5226,12.335
Japan,19.6M,34.531,134.2248
Kenya,27.6M,0.1015,37.5414
South Korea,4.35M,35.545,127.449
Mexico,5.5M,23.3729,-102.3443
Netherlands,982k,52.758,5.1742
Norway,10.7M,64.3458,17.515
Pakistan,32.6M,30.263,69.2135
Peru,1.5M,-9.1052,-75.08
Philippines,16.1M,12.5255,121.461
Poland,38.3M,51.5521,19.812
Portugal,9.14M,39.3328,-7.5041
Russia,197M,61.3123,-74.54
Singapore,32.3k,1.2153,103.4921
Turkey,21M,38.5741,35.156
Ukraine,17.5M,48.2247,31.105
USA,324M,37.09024,-95.71289
Vietnam,27.1M,15.5827,105.4823
